policyId,Gender,policyHolderAge,hasCanadianDrivingLicense,territory,hasAutoInsurance,hadVehicleClaimInPast,homeInsurancePremium,saleChannel,isOwner,rentedVehicle,hasMortgage,nbWeeksInsured,vehicleStatus
213,Female,66,1,25,0,Yes,1000,26,0,0,NA,13,Old vehicle
220,Male,51,1,7,0,Yes,1185,124,1,1,1,18,Recent vehicle
224,Male,47,1,12,1,No,1179,124,0,0,NA,39,Recent vehicle
237,Female,45,1,8,1,No,1018,152,0,0,NA,29,Recent vehicle
262,Female,21,1,7,1,No,939,26,0,0,NA,43,New vehicle
271,Male,46,1,24,1,Yes,88,124,0,1,NA,15,Recent vehicle
281,Male,21,1,18,1,No,992,152,1,1,1,28,New vehicle
282,Female,30,1,17,0,Yes,1053,152,1,1,1,22,New vehicle
293,Male,34,1,7,1,No,1402,152,0,0,NA,24,New vehicle
296,Female,75,1,25,0,Yes,1556,26,0,0,NA,4,Old vehicle
328,Male,25,1,6,1,No,1303,26,1,1,1,34,New vehicle
334,Female,20,1,39,0,No,1014,152,0,0,NA,31,New vehicle
335,Male,18,1,41,1,No,787,160,1,1,0,11,New vehicle
340,Male,49,1,35,1,Yes,893,124,0,1,NA,40,Recent vehicle
346,Female,26,1,3,1,No,1179,152,0,1,NA,15,New vehicle
353,Female,53,1,45,0,Yes,1282,124,0,0,NA,16,Recent vehicle
363,Male,54,1,50,1,No,935,26,1,1,1,16,Recent vehicle
384,Male,32,1,38,1,No,976,152,0,1,NA,5,New vehicle
391,Female,63,1,5,0,No,88,26,0,1,NA,8,Recent vehicle
403,Male,21,1,18,1,No,923,152,0,1,NA,23,New vehicle
405,Female,54,1,25,1,No,1722,124,0,0,NA,2,Recent vehicle
411,Female,23,1,31,0,No,969,152,1,1,1,23,New vehicle
438,Female,18,1,17,1,No,1127,160,0,1,NA,9,New vehicle
442,Female,24,1,4,1,No,695,152,1,1,1,34,New vehicle
445,Female,25,1,45,1,No,952,160,0,0,NA,39,New vehicle
446,Female,48,1,3,0,Yes,798,124,0,1,NA,15,Recent vehicle
447,Male,50,1,42,0,Yes,828,26,1,1,1,14,Recent vehicle
458,Female,54,1,6,1,Yes,1037,26,0,1,NA,19,Recent vehicle
459,Female,18,1,38,1,No,1111,160,0,0,NA,5,New vehicle
461,Male,42,1,45,0,Yes,1059,30,0,0,NA,35,Recent vehicle
468,Male,66,1,13,1,No,1254,26,1,0,1,27,Recent vehicle
469,Female,44,1,25,0,Yes,1085,124,0,1,NA,11,Recent vehicle
482,Male,52,1,49,0,Yes,88,26,1,0,1,19,Recent vehicle
494,Male,36,1,42,1,No,1338,152,1,1,1,29,New vehicle
495,Male,50,1,25,0,Yes,1462,124,0,1,NA,26,Old vehicle
499,Male,71,1,12,0,Yes,1538,26,1,1,1,10,Recent vehicle
500,Female,46,1,25,0,Yes,1542,52,0,0,NA,15,Recent vehicle
515,Female,27,1,25,1,No,2663,32,1,1,1,15,Recent vehicle
545,Female,26,1,45,1,No,1382,152,0,0,NA,31,New vehicle
549,Male,27,1,25,0,Yes,88,124,0,0,NA,6,Recent vehicle
566,Male,38,1,14,1,No,937,124,1,1,1,17,Recent vehicle
571,Male,26,1,50,1,No,1046,152,0,1,NA,11,New vehicle
580,Female,29,1,38,1,No,1255,152,0,1,NA,26,New vehicle
585,Male,20,1,45,1,No,1799,152,1,1,1,37,New vehicle
597,Male,40,1,5,0,Yes,88,154,1,1,1,10,Recent vehicle
604,Female,18,1,45,1,Yes,1343,152,1,0,1,9,New vehicle
605,Male,48,1,24,0,Yes,88,26,1,0,1,3,Old vehicle
608,Male,33,1,24,1,No,1997,163,0,0,NA,12,Recent vehicle
625,Male,58,1,7,0,Yes,1090,124,0,0,NA,22,Recent vehicle
660,Male,33,1,23,0,Yes,88,156,0,1,NA,26,New vehicle
668,Female,64,1,36,0,Yes,88,154,0,1,NA,34,Old vehicle
669,Female,52,1,45,1,No,1282,26,0,1,NA,36,Recent vehicle
672,Female,52,1,18,0,Yes,1047,26,0,0,NA,15,Recent vehicle
673,Female,23,1,3,1,No,1194,160,1,0,1,13,New vehicle
683,Male,19,1,19,0,Yes,781,152,1,1,1,30,New vehicle
703,Female,47,1,25,0,Yes,1123,26,0,0,NA,6,Recent vehicle
708,Male,45,1,25,0,Yes,88,124,0,1,NA,14,Recent vehicle
710,Female,19,1,29,1,No,872,152,0,0,NA,14,New vehicle
712,Male,61,1,32,1,No,1077,124,0,1,NA,35,Recent vehicle
715,Male,40,1,14,0,Yes,1017,127,0,0,NA,10,Recent vehicle
725,Male,47,1,25,1,No,1145,26,1,0,1,36,Recent vehicle
731,Male,70,1,15,0,Yes,924,124,1,1,1,1,Old vehicle
734,Male,26,1,17,0,No,1037,152,0,1,NA,16,New vehicle
735,Male,38,1,20,0,Yes,915,26,1,1,1,29,Recent vehicle
744,Female,23,1,25,1,No,1297,152,0,0,NA,31,New vehicle
753,Female,26,1,18,1,No,1175,152,0,1,NA,26,New vehicle
759,Female,23,1,17,1,No,88,160,0,0,NA,33,New vehicle
761,Female,54,1,25,1,No,956,26,0,0,NA,27,Recent vehicle
762,Male,27,1,40,0,Yes,915,124,1,0,1,6,Recent vehicle
767,Female,35,1,51,0,Yes,1071,26,1,0,1,34,Recent vehicle
768,Male,37,1,53,0,Yes,88,124,1,0,1,39,Recent vehicle
801,Female,63,1,25,1,No,1617,26,0,0,NA,7,Recent vehicle
805,Male,24,1,22,0,No,88,152,0,1,NA,36,New vehicle
825,Female,48,1,45,0,Yes,994,156,0,1,NA,33,Old vehicle
848,Male,25,1,17,0,Yes,939,152,0,1,NA,15,New vehicle
857,Male,55,1,12,1,No,1307,26,0,0,NA,25,Recent vehicle
863,Female,24,1,17,1,No,1452,160,1,1,0,35,New vehicle
865,Female,57,1,25,1,No,1049,26,0,0,NA,22,Recent vehicle
885,Male,20,1,25,0,Yes,2068,154,0,1,NA,14,New vehicle
890,Male,32,1,17,0,Yes,1377,124,1,1,1,8,Recent vehicle
898,Female,24,1,43,1,No,1009,152,0,1,NA,33,New vehicle
899,Male,62,1,41,1,No,1202,26,0,0,NA,15,Recent vehicle
915,Male,49,1,14,0,Yes,1282,124,0,1,NA,7,Recent vehicle
925,Female,30,1,8,1,No,88,152,0,0,NA,34,New vehicle
932,Male,61,1,3,0,Yes,1095,26,0,0,NA,34,Recent vehicle
933,Female,26,1,47,1,No,644,152,0,0,NA,17,New vehicle
935,Female,46,1,45,0,Yes,1616,26,0,1,NA,20,Recent vehicle
936,Male,20,1,44,1,No,1217,160,0,1,NA,17,New vehicle
945,Female,27,1,20,0,Yes,88,157,1,1,0,34,Recent vehicle
947,Male,45,1,25,0,Yes,760,26,0,1,NA,17,Recent vehicle
952,Female,62,1,12,0,Yes,2676,154,1,0,0,6,Old vehicle
956,Female,25,1,40,0,Yes,977,152,0,1,NA,23,New vehicle
960,Female,41,1,47,1,No,1001,152,1,1,1,39,Recent vehicle
962,Female,20,1,42,1,No,516,152,0,0,NA,32,New vehicle
967,Female,22,1,24,1,No,1482,160,0,0,NA,16,New vehicle
973,Male,24,1,47,1,No,884,152,1,1,1,21,New vehicle
981,Female,42,1,25,0,Yes,990,26,0,0,NA,17,Recent vehicle
989,Male,32,1,3,0,Yes,88,124,1,0,1,42,Recent vehicle
996,Female,24,1,7,1,No,822,152,0,0,NA,41,New vehicle
1016,Female,55,1,45,0,Yes,88,124,0,0,NA,16,Recent vehicle
1039,Male,24,1,32,1,No,920,152,0,1,NA,33,New vehicle
1042,Male,25,1,3,1,No,1622,152,1,1,1,39,New vehicle
1059,Male,27,1,42,1,No,975,152,1,1,1,14,New vehicle
1069,Female,56,1,25,0,Yes,1664,124,0,1,NA,22,Old vehicle
1084,Male,48,1,28,0,Yes,1193,26,0,1,NA,15,Recent vehicle
1109,Female,29,1,14,1,No,1003,152,1,0,1,26,New vehicle
1118,Male,31,1,50,0,Yes,88,26,1,1,1,9,Recent vehicle
1119,Male,24,1,23,1,No,828,152,0,0,NA,17,New vehicle
1145,Male,43,1,25,0,Yes,1594,124,0,1,NA,12,Recent vehicle
1157,Female,31,1,25,0,Yes,1649,152,1,0,1,11,New vehicle
1166,Male,42,1,30,0,Yes,920,26,0,1,NA,27,Recent vehicle
1172,Female,44,1,27,1,No,1114,120,1,1,1,43,Recent vehicle
1179,Male,37,1,45,1,No,1472,152,0,0,NA,18,New vehicle
1183,Female,33,1,24,1,No,88,152,1,1,1,9,New vehicle
1195,Male,57,1,12,1,No,847,26,1,1,1,6,Recent vehicle
1198,Female,47,1,50,0,Yes,1253,124,1,0,1,35,Recent vehicle
1217,Male,38,1,25,0,Yes,88,156,0,1,NA,36,Recent vehicle
1219,Male,64,1,25,0,Yes,2453,26,0,0,NA,18,Recent vehicle
1230,Female,44,1,53,0,Yes,88,26,0,0,NA,8,Recent vehicle
1240,Male,37,1,25,1,Yes,1309,26,1,1,1,14,Recent vehicle
1242,Male,52,1,45,0,Yes,1346,124,0,0,NA,13,Recent vehicle
1250,Male,31,1,45,1,No,1155,152,0,1,NA,34,New vehicle
1257,Female,28,1,41,1,No,1052,152,1,1,1,16,New vehicle
1265,Male,57,1,29,0,Yes,1262,157,1,0,1,30,Old vehicle
1278,Female,29,1,46,0,Yes,1349,152,0,1,NA,23,New vehicle
1299,Male,59,1,45,0,No,1095,7,0,1,NA,36,Recent vehicle
1303,Female,40,1,12,0,Yes,1424,124,0,0,NA,43,Recent vehicle
1305,Male,64,1,12,1,No,890,124,0,1,NA,6,Recent vehicle
1337,Male,79,1,5,1,Yes,88,26,0,0,NA,26,Recent vehicle
1357,Male,38,1,25,0,Yes,1278,124,0,0,NA,35,Recent vehicle
1378,Female,37,1,5,0,No,88,124,1,1,0,25,Recent vehicle
1387,Male,74,1,25,0,Yes,980,122,0,1,NA,14,Old vehicle
1445,Female,23,1,7,1,No,849,152,0,1,NA,33,New vehicle
1447,Male,40,1,12,0,Yes,1088,124,1,0,1,35,Recent vehicle
1457,Female,47,1,25,0,Yes,1218,26,0,1,NA,25,Recent vehicle
1481,Male,25,1,7,0,Yes,88,152,0,0,NA,21,New vehicle
1482,Female,35,1,50,1,No,88,152,0,0,NA,31,New vehicle
1492,Female,21,1,45,1,No,1603,152,0,0,NA,37,New vehicle
1498,Female,31,1,46,0,Yes,1004,160,1,0,1,28,New vehicle
1500,Female,28,1,38,0,No,1684,151,0,1,NA,22,New vehicle
1523,Male,54,1,25,0,Yes,1060,122,0,0,NA,33,Recent vehicle
1530,Female,42,1,25,0,Yes,1360,124,0,0,NA,38,Recent vehicle
1545,Female,18,1,23,1,No,1464,152,0,0,NA,23,New vehicle
1563,Female,27,1,3,1,No,1241,152,0,1,NA,17,New vehicle
1578,Female,25,1,30,1,No,1203,152,1,1,1,3,New vehicle
1583,Female,53,1,33,0,Yes,88,124,0,0,NA,31,Recent vehicle
1603,Female,18,1,40,0,Yes,1577,160,0,0,NA,26,New vehicle
1617,Male,49,1,29,0,Yes,1159,124,1,0,1,6,Recent vehicle
1624,Male,35,1,25,0,Yes,1396,124,0,0,NA,25,Recent vehicle
1625,Female,18,1,7,0,Yes,993,152,0,0,NA,31,New vehicle
1641,Female,52,1,25,0,No,1014,154,0,1,NA,10,Recent vehicle
1644,Male,62,1,20,0,Yes,1070,26,0,0,NA,5,Old vehicle
1648,Female,47,1,25,1,No,1147,124,1,1,1,5,Recent vehicle
1651,Female,43,1,25,0,Yes,1442,124,0,1,NA,1,Recent vehicle
1657,Female,25,1,37,0,Yes,88,26,1,1,1,19,New vehicle
1660,Male,42,1,27,0,Yes,1356,122,1,0,1,16,Recent vehicle
1667,Male,25,1,25,1,No,928,26,0,0,NA,24,New vehicle
1675,Female,37,1,44,1,No,900,152,0,1,NA,39,New vehicle
1677,Male,47,1,42,0,No,1246,157,0,0,NA,15,Recent vehicle
1691,Male,47,1,16,0,Yes,892,128,0,0,NA,12,Recent vehicle
1692,Female,36,1,23,1,No,88,160,0,0,NA,18,Recent vehicle
1704,Female,54,1,25,0,Yes,942,122,0,0,NA,39,Recent vehicle
1718,Male,25,1,44,1,No,1210,152,1,0,1,14,New vehicle
1723,Female,78,1,25,0,Yes,1536,26,0,1,NA,33,Recent vehicle
1737,Female,31,1,45,1,No,1275,152,1,0,1,9,New vehicle
1749,Male,34,1,33,1,No,88,124,0,1,NA,4,Recent vehicle
1756,Female,39,1,25,1,No,1290,122,0,1,NA,32,Recent vehicle
1771,Male,37,1,25,0,Yes,1154,122,1,1,1,0,Recent vehicle
1773,Female,76,1,25,1,No,871,124,0,1,NA,17,Recent vehicle
1781,Female,59,1,5,1,Yes,88,26,1,0,1,11,Recent vehicle
1786,Female,55,1,25,0,Yes,1271,26,0,1,NA,43,Recent vehicle
1789,Female,23,1,45,1,No,905,152,1,1,1,20,New vehicle
1804,Male,25,1,4,0,Yes,1048,152,0,0,NA,9,New vehicle
1809,Male,65,1,45,1,No,1612,26,0,1,NA,36,Recent vehicle
1815,Female,34,1,3,1,No,1104,152,0,1,NA,11,New vehicle
1828,Male,34,1,42,0,Yes,831,26,0,0,NA,31,Recent vehicle
1837,Female,56,1,33,1,No,88,26,0,0,NA,40,Recent vehicle
1839,Female,43,1,25,1,No,88,26,0,0,NA,40,Recent vehicle
1841,Male,40,1,34,0,Yes,1118,124,1,1,0,41,Recent vehicle
1846,Female,30,1,38,1,No,1101,160,0,0,NA,21,Recent vehicle
1853,Male,68,1,10,0,Yes,1079,26,0,1,NA,23,Recent vehicle
1866,Female,26,1,3,0,Yes,1121,152,1,0,1,7,New vehicle
1869,Female,31,1,26,1,No,819,152,0,0,NA,16,New vehicle
1880,Female,36,1,12,0,Yes,1304,124,0,1,NA,6,Recent vehicle
1885,Female,75,1,24,1,No,954,26,0,0,NA,6,Recent vehicle
1893,Male,44,1,25,1,No,1271,52,0,0,NA,38,Recent vehicle
1899,Male,72,1,25,0,Yes,1720,152,0,0,NA,41,Recent vehicle
1904,Male,43,1,25,0,Yes,1521,26,1,1,1,6,Recent vehicle
1913,Female,23,1,30,1,No,713,152,0,1,NA,35,New vehicle
1918,Male,44,1,25,0,Yes,1382,26,0,1,NA,30,Recent vehicle
1924,Female,31,1,42,0,Yes,872,26,0,0,NA,14,Recent vehicle
1946,Female,28,1,12,1,No,940,152,0,1,NA,5,New vehicle
1979,Female,49,1,25,0,Yes,1510,26,0,1,NA,7,Recent vehicle
1991,Female,45,1,7,1,Yes,1086,163,0,0,NA,18,Recent vehicle
2001,Female,23,1,38,0,Yes,948,152,0,1,NA,35,New vehicle
2002,Male,20,1,43,1,No,1645,152,1,1,0,30,New vehicle
2010,Female,44,1,8,0,Yes,88,154,0,1,NA,16,Recent vehicle
2025,Male,57,1,42,0,Yes,1233,26,1,0,1,33,Recent vehicle
2040,Female,20,1,51,1,No,1002,152,0,0,NA,38,New vehicle
2049,Male,44,1,12,1,No,1108,124,0,0,NA,22,Recent vehicle
2060,Male,38,1,25,1,No,1323,122,0,1,NA,15,Recent vehicle
2071,Female,21,1,45,0,Yes,1273,152,0,1,NA,24,New vehicle
2080,Female,26,1,45,1,No,1068,152,1,1,0,5,New vehicle
2087,Female,26,1,39,1,No,777,152,1,1,1,6,New vehicle
2099,Female,23,1,36,1,No,1517,152,0,1,NA,27,New vehicle
2103,Female,21,1,3,1,No,875,152,0,1,NA,43,New vehicle
2116,Female,41,1,25,0,Yes,1431,124,1,1,1,21,Recent vehicle
2129,Male,60,1,25,0,Yes,1455,26,0,1,NA,25,Recent vehicle
2151,Male,57,1,47,0,Yes,88,152,1,0,1,27,Recent vehicle
2154,Male,57,1,53,0,Yes,88,7,0,0,NA,24,Recent vehicle
2161,Male,49,1,8,1,No,985,124,0,1,NA,12,Recent vehicle
2189,Male,66,1,25,1,No,1257,55,0,0,NA,6,Recent vehicle
2220,Female,22,1,50,1,No,769,152,0,0,NA,6,New vehicle
2255,Male,78,1,29,0,No,88,156,0,0,NA,11,Recent vehicle
2264,Male,37,1,17,1,No,88,26,0,0,NA,6,Recent vehicle
2297,Male,49,1,25,1,No,774,26,0,1,NA,9,Recent vehicle
2309,Male,21,1,6,0,Yes,1206,152,0,0,NA,23,New vehicle
2338,Female,34,1,5,0,Yes,88,124,0,0,NA,24,Recent vehicle
2339,Male,58,1,25,0,Yes,1960,124,1,1,0,8,Old vehicle
2360,Male,47,1,25,0,Yes,1481,124,0,0,NA,19,Recent vehicle
2381,Male,42,1,25,1,No,1273,26,1,0,1,18,Recent vehicle
2402,Male,18,1,12,0,Yes,1328,152,0,0,NA,28,New vehicle
2403,Male,72,1,25,1,No,1063,60,1,0,1,33,Recent vehicle
2407,Male,29,1,7,0,Yes,1000,124,0,0,NA,30,Recent vehicle
2417,Male,69,1,45,0,Yes,1766,7,1,0,0,11,Recent vehicle
2424,Female,33,1,38,1,No,1225,152,0,1,NA,20,New vehicle
2427,Male,53,1,38,1,No,994,14,0,0,NA,23,Recent vehicle
2432,Male,22,1,7,0,No,850,152,1,1,1,20,New vehicle
2443,Male,49,1,25,0,No,1047,124,0,1,NA,18,Recent vehicle
2452,Male,38,1,17,1,No,88,160,0,1,NA,7,Recent vehicle
2462,Female,29,1,37,0,Yes,1091,152,0,1,NA,7,New vehicle
2469,Male,68,1,25,1,No,2127,26,0,1,NA,44,Recent vehicle
2504,Female,19,1,25,1,No,1098,152,0,0,NA,17,New vehicle
2506,Female,70,1,25,0,Yes,2144,122,0,1,NA,15,Old vehicle
2510,Female,45,1,24,0,No,1309,26,0,0,NA,17,Recent vehicle
2517,Male,33,1,32,0,Yes,733,31,0,1,NA,33,Recent vehicle
2518,Female,21,1,6,1,No,1143,152,0,0,NA,38,New vehicle
2547,Female,28,1,12,1,No,887,152,0,1,NA,9,New vehicle
2567,Female,28,1,50,1,No,856,152,0,0,NA,27,New vehicle
2576,Female,32,1,25,1,No,1448,152,0,0,NA,43,New vehicle
2577,Female,47,1,23,0,Yes,971,124,0,1,NA,35,Recent vehicle
2579,Male,42,1,20,0,Yes,1174,124,1,0,1,3,Recent vehicle
2599,Female,20,1,7,1,No,741,152,0,0,NA,7,New vehicle
2602,Male,30,1,38,1,No,977,154,0,1,NA,44,Recent vehicle
2608,Female,21,1,38,0,Yes,1137,152,1,0,1,29,New vehicle
2626,Male,31,1,25,0,No,909,4,0,1,NA,37,Recent vehicle
2641,Male,78,1,45,1,No,1504,124,0,1,NA,19,Recent vehicle
2642,Male,18,1,23,0,Yes,777,160,0,1,NA,27,New vehicle
2646,Male,65,1,45,1,No,1095,26,0,1,NA,17,Recent vehicle
2649,Female,43,1,25,1,No,1656,26,1,0,1,12,Recent vehicle
2654,Male,39,1,25,0,Yes,1113,154,0,0,NA,38,Recent vehicle
2690,Male,34,1,12,0,Yes,1091,122,1,0,1,32,Recent vehicle
2698,Female,26,1,28,1,No,997,152,0,0,NA,6,New vehicle
2713,Female,21,1,47,1,No,901,26,0,1,NA,29,New vehicle
2714,Female,34,1,24,0,Yes,88,160,0,1,NA,25,New vehicle
2740,Female,45,1,25,0,Yes,1260,11,0,0,NA,25,Recent vehicle
2758,Female,29,1,40,1,No,88,152,0,1,NA,19,New vehicle
2772,Female,19,1,50,0,No,803,160,0,0,NA,25,New vehicle
2791,Male,60,1,25,0,Yes,1496,124,1,0,1,7,Recent vehicle
2799,Female,56,1,45,1,No,1053,26,0,1,NA,32,Recent vehicle
2801,Male,24,1,12,1,No,1187,152,0,1,NA,6,New vehicle
2802,Male,27,1,23,0,Yes,1026,152,0,1,NA,9,New vehicle
2811,Male,37,1,12,1,Yes,88,152,0,1,NA,21,New vehicle
2813,Female,22,1,47,1,No,1013,152,0,1,NA,22,New vehicle
2814,Male,22,1,25,0,Yes,88,156,0,0,NA,11,New vehicle
2816,Female,22,1,48,0,Yes,1070,152,0,0,NA,20,New vehicle
2817,Male,48,1,25,0,Yes,88,124,0,1,NA,37,Recent vehicle
2825,Male,20,1,16,1,No,88,152,0,1,NA,19,New vehicle
2826,Male,28,1,37,0,Yes,537,151,0,1,NA,14,New vehicle
2845,Male,33,1,14,0,Yes,88,156,1,0,1,10,Recent vehicle
2846,Male,22,1,17,0,No,1034,151,1,1,1,6,New vehicle
2853,Male,63,1,34,0,Yes,1781,26,0,0,NA,8,Recent vehicle
2858,Female,18,1,18,1,No,88,160,0,0,NA,41,New vehicle
2888,Male,30,1,18,1,No,1251,152,0,1,NA,19,New vehicle
2890,Male,19,1,24,0,No,1153,26,0,0,NA,20,New vehicle
2908,Male,58,1,25,0,Yes,1049,156,0,1,NA,11,Old vehicle
2920,Male,47,1,42,0,Yes,2969,26,1,1,1,7,Recent vehicle
2921,Female,28,1,45,0,Yes,732,124,1,1,1,34,Recent vehicle
2940,Male,38,1,41,1,Yes,899,124,0,0,NA,26,Recent vehicle
2978,Female,50,1,12,0,Yes,1723,124,0,0,NA,16,Recent vehicle
2981,Male,22,1,3,1,No,1476,152,1,0,1,22,New vehicle
3000,Female,40,1,20,0,Yes,88,157,1,1,1,32,Recent vehicle
3002,Female,29,1,25,0,Yes,1552,26,0,0,NA,9,Recent vehicle
3009,Female,41,1,6,0,Yes,941,124,1,1,1,13,Recent vehicle
3010,Male,72,1,39,0,Yes,1068,156,1,0,1,17,Recent vehicle
3029,Female,54,1,25,1,Yes,1171,26,0,1,NA,40,Recent vehicle
3031,Male,54,1,25,1,No,698,26,0,0,NA,23,Recent vehicle
3034,Female,25,1,28,0,Yes,1557,160,1,1,1,11,New vehicle
3037,Male,66,1,25,1,No,744,26,0,1,NA,39,Recent vehicle
3041,Male,25,1,25,1,No,1267,152,0,1,NA,17,New vehicle
3044,Male,26,1,51,1,No,738,152,0,0,NA,33,New vehicle
3051,Female,30,1,12,0,Yes,783,124,0,0,NA,38,New vehicle
3056,Male,38,1,45,0,Yes,1144,26,1,1,1,42,Recent vehicle
3058,Male,19,1,12,1,No,1046,152,1,1,1,4,New vehicle
3062,Male,36,1,37,1,No,951,157,0,0,NA,19,Recent vehicle
3063,Male,42,1,49,0,Yes,1030,26,0,0,NA,5,Recent vehicle
3079,Male,50,1,45,0,Yes,88,26,0,0,NA,14,Recent vehicle
3080,Male,44,1,25,0,Yes,960,26,0,1,NA,41,Recent vehicle
3083,Female,44,1,48,0,Yes,1088,16,0,1,NA,11,Recent vehicle
3097,Female,62,1,3,0,Yes,989,8,0,1,NA,40,Recent vehicle
3116,Male,28,1,37,0,Yes,88,160,0,0,NA,42,New vehicle
3117,Male,61,1,51,1,No,672,124,0,1,NA,3,Recent vehicle
3123,Female,29,1,35,1,No,972,152,0,0,NA,13,New vehicle
3127,Male,46,1,25,0,Yes,1131,26,0,1,NA,28,Recent vehicle
3131,Male,76,1,25,1,No,1452,52,0,1,NA,36,Recent vehicle
3134,Female,20,1,42,1,No,829,152,1,0,0,22,New vehicle
3145,Female,47,1,25,0,Yes,1575,155,1,1,0,23,Recent vehicle
3153,Female,29,1,25,0,Yes,961,152,0,0,NA,1,New vehicle
3159,Female,18,1,28,1,No,1403,152,1,1,1,5,New vehicle
3167,Male,21,1,45,1,No,1237,152,0,1,NA,23,New vehicle
3189,Male,53,1,8,1,No,1065,26,0,1,NA,44,Recent vehicle
3230,Male,49,1,7,0,Yes,1001,124,0,0,NA,22,Recent vehicle
3242,Male,30,1,42,1,No,88,152,0,1,NA,21,New vehicle
3271,Female,25,1,7,1,No,1061,160,0,1,NA,3,New vehicle
3277,Female,20,1,17,0,No,1091,152,0,1,NA,22,New vehicle
3288,Male,28,1,25,1,No,817,152,0,0,NA,15,New vehicle
3309,Female,63,1,25,0,Yes,1341,122,1,0,0,11,Recent vehicle
3313,Male,32,1,25,1,No,747,152,0,1,NA,15,New vehicle
3319,Male,75,1,25,0,No,2013,15,0,1,NA,14,Recent vehicle
3339,Female,25,1,6,0,Yes,881,160,0,0,NA,30,New vehicle
3345,Female,28,1,25,1,No,973,152,1,0,1,13,New vehicle
3346,Male,26,1,25,1,No,1610,152,0,1,NA,8,New vehicle
3359,Male,26,1,41,0,Yes,1077,152,0,0,NA,5,New vehicle
3365,Male,41,1,25,1,No,1061,26,0,1,NA,32,Recent vehicle
3368,Female,23,1,45,0,Yes,940,160,0,0,NA,7,New vehicle
3374,Female,18,1,46,1,No,3144,160,0,1,NA,23,New vehicle
3378,Female,22,1,33,0,Yes,88,160,0,1,NA,14,New vehicle
3394,Male,39,1,7,0,Yes,1056,154,1,0,1,32,Recent vehicle
3398,Male,62,1,25,1,Yes,2694,124,1,0,1,40,Recent vehicle
3413,Female,21,1,45,1,No,1041,160,0,0,NA,41,New vehicle
3418,Male,49,1,25,0,Yes,2120,124,1,0,0,21,Recent vehicle
3422,Female,30,1,42,1,No,1277,124,0,1,NA,0,Recent vehicle
3434,Male,38,1,25,1,No,88,122,1,1,1,28,Recent vehicle
3440,Male,29,1,25,0,Yes,1047,152,1,1,1,17,New vehicle
3458,Female,50,1,7,0,No,88,156,0,0,NA,33,Recent vehicle
3473,Female,28,1,50,0,No,475,152,0,0,NA,2,New vehicle
3485,Female,19,1,40,1,No,908,152,0,1,NA,23,New vehicle
3496,Female,31,1,50,1,No,898,152,1,1,1,22,New vehicle
3499,Female,31,1,25,1,No,1336,152,1,0,0,20,New vehicle
3528,Male,41,1,25,0,Yes,1267,124,0,0,NA,27,Recent vehicle
3535,Male,46,1,32,0,No,954,124,1,1,1,44,Recent vehicle
3537,Female,18,1,25,1,No,1382,160,0,0,NA,41,New vehicle
3542,Female,50,1,25,0,No,969,124,0,1,NA,37,Recent vehicle
3545,Female,18,1,17,0,Yes,88,152,0,0,NA,36,New vehicle
3547,Female,81,1,44,0,No,1006,124,0,0,NA,39,Recent vehicle
